PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL
85914,20030320,BBY,BEST BUY COMPANY INC,08651610,29.89000,5050200
85914,20030321,BBY,BEST BUY COMPANY INC,08651610,31.14000,4877800
85914,20030324,BBY,BEST BUY COMPANY INC,08651610,29.05000,4403000
85914,20030325,BBY,BEST BUY COMPANY INC,08651610,30.37000,4544600
85914,20030326,BBY,BEST BUY COMPANY INC,08651610,29.43000,4551800
85914,20030327,BBY,BEST BUY COMPANY INC,08651610,28.20000,5788600
85914,20030328,BBY,BEST BUY COMPANY INC,08651610,26.90000,6030900
85914,20030331,BBY,BEST BUY COMPANY INC,08651610,26.97000,6504600
85914,20030401,BBY,BEST BUY COMPANY INC,08651610,27.35000,10297200
85914,20030402,BBY,BEST BUY COMPANY INC,08651610,28.67000,5571200
85914,20030403,BBY,BEST BUY COMPANY INC,08651610,29.69000,4880000
85914,20030404,BBY,BEST BUY COMPANY INC,08651610,29.57000,2406300
85914,20030407,BBY,BEST BUY COMPANY INC,08651610,29.71000,3833400
85914,20030408,BBY,BEST BUY COMPANY INC,08651610,29.98000,3286300
85914,20030409,BBY,BEST BUY COMPANY INC,08651610,29.58000,2731300
85914,20030410,BBY,BEST BUY COMPANY INC,08651610,30.18000,3222300
85914,20030411,BBY,BEST BUY COMPANY INC,08651610,30.06000,2864300
85914,20030414,BBY,BEST BUY COMPANY INC,08651610,30.98000,4729900
85914,20030415,BBY,BEST BUY COMPANY INC,08651610,31.51000,3421800
85914,20030416,BBY,BEST BUY COMPANY INC,08651610,30.79000,3061200
85914,20030417,BBY,BEST BUY COMPANY INC,08651610,32.34000,4284600
85914,20030421,BBY,BEST BUY COMPANY INC,08651610,32.03000,2057800
85914,20030422,BBY,BEST BUY COMPANY INC,08651610,33.94000,5550900
85914,20030423,BBY,BEST BUY COMPANY INC,08651610,33.60000,5824300
85914,20030424,BBY,BEST BUY COMPANY INC,08651610,33.87000,3977600
85914,20030425,BBY,BEST BUY COMPANY INC,08651610,32.80000,3194400
85914,20030428,BBY,BEST BUY COMPANY INC,08651610,33.75000,3904500
85914,20030429,BBY,BEST BUY COMPANY INC,08651610,34.40000,4721000
85914,20030430,BBY,BEST BUY COMPANY INC,08651610,34.58000,3799300
85914,20030501,BBY,BEST BUY COMPANY INC,08651610,33.76000,3439000
85914,20030502,BBY,BEST BUY COMPANY INC,08651610,34.24000,3205200
85914,20030505,BBY,BEST BUY COMPANY INC,08651610,34.76000,2697700
85914,20030506,BBY,BEST BUY COMPANY INC,08651610,35.40000,3297600
85914,20030507,BBY,BEST BUY COMPANY INC,08651610,35.48000,2708900
85914,20030508,BBY,BEST BUY COMPANY INC,08651610,35.40000,2309600
85914,20030509,BBY,BEST BUY COMPANY INC,08651610,35.85000,2648600
85914,20030512,BBY,BEST BUY COMPANY INC,08651610,37.49000,5625500
85914,20030513,BBY,BEST BUY COMPANY INC,08651610,37.14000,4320600
85914,20030514,BBY,BEST BUY COMPANY INC,08651610,36.80000,4403300
85914,20030515,BBY,BEST BUY COMPANY INC,08651610,37.10000,3724000
85914,20030516,BBY,BEST BUY COMPANY INC,08651610,36.68000,3830500
85914,20030519,BBY,BEST BUY COMPANY INC,08651610,34.08000,6023700
85914,20030520,BBY,BEST BUY COMPANY INC,08651610,34.56000,4465300
85914,20030521,BBY,BEST BUY COMPANY INC,08651610,34.69000,2257300
85914,20030522,BBY,BEST BUY COMPANY INC,08651610,35.70000,2650600
85914,20030523,BBY,BEST BUY COMPANY INC,08651610,35.41000,2003900
85914,20030527,BBY,BEST BUY COMPANY INC,08651610,36.32000,3186000
85914,20030528,BBY,BEST BUY COMPANY INC,08651610,37.60000,5890600
85914,20030529,BBY,BEST BUY COMPANY INC,08651610,37.40000,4241900
85914,20030530,BBY,BEST BUY COMPANY INC,08651610,38.70000,3661100
85914,20030602,BBY,BEST BUY COMPANY INC,08651610,39.97000,5311900
85914,20030603,BBY,BEST BUY COMPANY INC,08651610,39.20000,4250300
85914,20030604,BBY,BEST BUY COMPANY INC,08651610,40.47000,4233900
85914,20030605,BBY,BEST BUY COMPANY INC,08651610,42.80000,12664700
85914,20030606,BBY,BEST BUY COMPANY INC,08651610,41.87000,5453900
85914,20030609,BBY,BEST BUY COMPANY INC,08651610,41.27000,2907200
85914,20030610,BBY,BEST BUY COMPANY INC,08651610,42.28000,2809100
85914,20030611,BBY,BEST BUY COMPANY INC,08651610,42.92000,3006400
85914,20030612,BBY,BEST BUY COMPANY INC,08651610,42.43000,2797200
85914,20030613,BBY,BEST BUY COMPANY INC,08651610,41.76000,2685800
85914,20030616,BBY,BEST BUY COMPANY INC,08651610,43.99000,7179200
85914,20030617,BBY,BEST BUY COMPANY INC,08651610,44.17000,4844500
85914,20030618,BBY,BEST BUY COMPANY INC,08651610,43.65000,5644300
85914,20030619,BBY,BEST BUY COMPANY INC,08651610,43.60000,3170700
85914,20030620,BBY,BEST BUY COMPANY INC,08651610,44.05000,2865900
85914,20030623,BBY,BEST BUY COMPANY INC,08651610,42.96000,2773700
85914,20030624,BBY,BEST BUY COMPANY INC,08651610,42.59000,3561900
85914,20030625,BBY,BEST BUY COMPANY INC,08651610,42.63000,2913500
85914,20030626,BBY,BEST BUY COMPANY INC,08651610,43.45000,2076600
85914,20030627,BBY,BEST BUY COMPANY INC,08651610,43.50000,2426900
85914,20030630,BBY,BEST BUY COMPANY INC,08651610,43.92000,2205800
85914,20030701,BBY,BEST BUY COMPANY INC,08651610,43.89000,3103300
85914,20030702,BBY,BEST BUY COMPANY INC,08651610,44.61000,2562600
85914,20030703,BBY,BEST BUY COMPANY INC,08651610,44.43000,1514900
85914,20030707,BBY,BEST BUY COMPANY INC,08651610,45.55000,2565900
85914,20030708,BBY,BEST BUY COMPANY INC,08651610,47.32000,3011800
85914,20030709,BBY,BEST BUY COMPANY INC,08651610,45.50000,3680500
85914,20030710,BBY,BEST BUY COMPANY INC,08651610,45.27000,3301400
85914,20030711,BBY,BEST BUY COMPANY INC,08651610,45.40000,1957800
85914,20030714,BBY,BEST BUY COMPANY INC,08651610,45.53000,3169500
85914,20030715,BBY,BEST BUY COMPANY INC,08651610,45.04000,2986800
85914,20030716,BBY,BEST BUY COMPANY INC,08651610,45.28000,2325600
85914,20030717,BBY,BEST BUY COMPANY INC,08651610,44.54000,3735000
85914,20030718,BBY,BEST BUY COMPANY INC,08651610,44.42000,2485500
85914,20030721,BBY,BEST BUY COMPANY INC,08651610,43.12000,2713600
85914,20030722,BBY,BEST BUY COMPANY INC,08651610,43.26000,3402400
85914,20030723,BBY,BEST BUY COMPANY INC,08651610,42.90000,2566600
85914,20030724,BBY,BEST BUY COMPANY INC,08651610,42.11000,3335000
85914,20030725,BBY,BEST BUY COMPANY INC,08651610,43.06000,4037700
85914,20030728,BBY,BEST BUY COMPANY INC,08651610,43.64000,2174700
85914,20030729,BBY,BEST BUY COMPANY INC,08651610,43.19000,2688500
85914,20030730,BBY,BEST BUY COMPANY INC,08651610,42.45000,3510000
85914,20030731,BBY,BEST BUY COMPANY INC,08651610,43.65000,4176300
85914,20030801,BBY,BEST BUY COMPANY INC,08651610,42.85000,4354200
85914,20030804,BBY,BEST BUY COMPANY INC,08651610,42.01000,4626000
85914,20030805,BBY,BEST BUY COMPANY INC,08651610,40.18000,4883100
85914,20030806,BBY,BEST BUY COMPANY INC,08651610,40.68000,4928900
85914,20030807,BBY,BEST BUY COMPANY INC,08651610,46.49000,13660000
85914,20030808,BBY,BEST BUY COMPANY INC,08651610,47.90000,6356600
85914,20030811,BBY,BEST BUY COMPANY INC,08651610,47.86000,4021700
85914,20030812,BBY,BEST BUY COMPANY INC,08651610,48.88000,3110000
85914,20030813,BBY,BEST BUY COMPANY INC,08651610,49.25000,4071900
85914,20030814,BBY,BEST BUY COMPANY INC,08651610,48.67000,2431000
85914,20030815,BBY,BEST BUY COMPANY INC,08651610,49.32000,1285800
85914,20030818,BBY,BEST BUY COMPANY INC,08651610,49.25000,2704500
85914,20030819,BBY,BEST BUY COMPANY INC,08651610,49.50000,3138200
85914,20030820,BBY,BEST BUY COMPANY INC,08651610,49.50000,2590000
85914,20030821,BBY,BEST BUY COMPANY INC,08651610,49.45000,4048500
85914,20030822,BBY,BEST BUY COMPANY INC,08651610,50.08000,4259500
85914,20030825,BBY,BEST BUY COMPANY INC,08651610,49.50000,2470000
85914,20030826,BBY,BEST BUY COMPANY INC,08651610,49.70000,3244500
85914,20030827,BBY,BEST BUY COMPANY INC,08651610,51.45000,4179300
85914,20030828,BBY,BEST BUY COMPANY INC,08651610,51.41000,3060000
85914,20030829,BBY,BEST BUY COMPANY INC,08651610,52.01000,3329400
85914,20030902,BBY,BEST BUY COMPANY INC,08651610,53.16000,4823700
85914,20030903,BBY,BEST BUY COMPANY INC,08651610,53.10000,4309800
85914,20030904,BBY,BEST BUY COMPANY INC,08651610,52.69000,5160900
85914,20030905,BBY,BEST BUY COMPANY INC,08651610,52.52000,6186300
85914,20030908,BBY,BEST BUY COMPANY INC,08651610,52.00000,5325000
85914,20030909,BBY,BEST BUY COMPANY INC,08651610,50.55000,5484600
85914,20030910,BBY,BEST BUY COMPANY INC,08651610,49.39000,4640900
85914,20030911,BBY,BEST BUY COMPANY INC,08651610,50.95000,4148800
85914,20030912,BBY,BEST BUY COMPANY INC,08651610,50.94000,3557900
85914,20030915,BBY,BEST BUY COMPANY INC,08651610,52.17000,4311400
85914,20030916,BBY,BEST BUY COMPANY INC,08651610,52.66000,3102200
85914,20030917,BBY,BEST BUY COMPANY INC,08651610,51.48000,7470400
85914,20030918,BBY,BEST BUY COMPANY INC,08651610,51.52000,2804500
85914,20030919,BBY,BEST BUY COMPANY INC,08651610,51.44000,2817700
85914,20030922,BBY,BEST BUY COMPANY INC,08651610,50.38000,3318100
85914,20030923,BBY,BEST BUY COMPANY INC,08651610,50.71000,2806500
85914,20030924,BBY,BEST BUY COMPANY INC,08651610,48.50000,6893800
85914,20030925,BBY,BEST BUY COMPANY INC,08651610,48.55000,5719200
85914,20030926,BBY,BEST BUY COMPANY INC,08651610,48.11000,2789000
85914,20030929,BBY,BEST BUY COMPANY INC,08651610,47.49000,4688500
85914,20030930,BBY,BEST BUY COMPANY INC,08651610,47.52000,3702000
85914,20031001,BBY,BEST BUY COMPANY INC,08651610,49.33000,4224000
85914,20031002,BBY,BEST BUY COMPANY INC,08651610,48.92000,3073200
85914,20031003,BBY,BEST BUY COMPANY INC,08651610,51.00000,4474000
85914,20031006,BBY,BEST BUY COMPANY INC,08651610,51.59000,2422400
85914,20031007,BBY,BEST BUY COMPANY INC,08651610,51.38000,2308700
85914,20031008,BBY,BEST BUY COMPANY INC,08651610,50.85000,2368300
