PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR
84415,20091130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.51000,2.91000,2.61000,25550,2.56000,2.60000,23232,0.25
84415,20091231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.46000,2.65000,2.53000,13783,2.50000,2.53000,23223,0.25
84415,20100129,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.67000,2.94000,2.80000,16122,2.76000,2.80000,23223,0.25
84415,20100226,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.30000,2.93000,2.34000,20379,2.31000,2.33000,23223,0.25
84415,20100331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.38000,2.62000,2.46000,17415,2.44000,2.46000,23223,0.25
84415,20100430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.07000,2.57000,2.07000,18745,2.05000,2.07000,23223,0.25
84415,20100528,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.34000,2.11000,1.44000,23562,1.43000,1.47000,23223,0.25
84415,20100630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.22000,1.49000,1.22000,23768,1.21000,1.23000,23223,0.25
84415,20100730,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.20000,1.64000,1.61000,21933,1.58000,1.62000,23223,0.25
84415,20100831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.45000,1.81000,1.53000,14918,1.53000,1.55000,23223,0.25
84415,20100930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.56440,2.35010,2.25000,30478,2.25000,2.28000,23223,0.25
84415,20101029,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.17000,2.32000,2.17190,11475,2.17000,2.19000,23223,0.25
84415,20101130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.83000,2.20000,1.83000,18914,1.84000,1.86000,23691,0.25
84415,20101231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.80000,2.10000,2.10000,23919,2.09000,2.10000,23720,0.25
84415,20110131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.26000,2.49990,2.29000,16019,2.28000,2.29000,23720,0.25
84415,20110228,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.94000,2.27000,1.94000,11952,1.94000,1.95000,23720,0.25
84415,20110331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.69450,1.93000,1.92000,8211,1.92000,1.93000,24055,0.25
84415,20110429,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.82000,1.93000,1.84010,5526,1.84000,1.87000,24055,0.25
84415,20110531,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.28900,1.80010,1.28900,4631,1.27000,1.29000,24055,0.25
84415,20110630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.01000,1.27000,1.17000,5181,1.17000,1.19000,24055,0.25
84415,20110729,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.06000,1.21000,1.17000,2456,1.17000,1.19000,24055,0.25
84415,20110831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,0.86990,1.17000,0.99700,4558,0.97020,0.99700,24861,0.25
84415,20110930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,0.50300,0.88000,0.60000,6915,0.56990,0.60000,24861,0.25
84415,20111031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,0.55000,0.81010,0.81010,6619,0.81010,0.84000,24861,0.25
